tag,text
63898,"#63898

I doubt if you’re in manufacturing so stop generalizing “engineering”. Either that or you’re calculating by 4k x 12 months + 1 month aws + 3 months bonus in order to get 5.5k.

You people are the reason why Singapore has more and more desktop engineers who knows nothing about hands on skills and think engineering is about excel spreadsheets, contributes nothing to the company technology roadmap while asking for high pay.

ps: saw some fresh grads with pt or overseas degree in the comments. Good luck to you if you think you are on par with local grads."
63895,"Hi everyone, esp those non-CS students taking a minor in CS. Isit advisable to clear the 5 CS modules within 1 AY to get the minor"
63894,"I’m curious. Are those who suffer from depression mentally weak? I’m mean life can get real harsh and it’s true that some may experience more hardships than another. Given the same predicament, a mentally strong person would’ve pulled through and pressed on, on the other hand the one who is mentally weak would’ve broken down and given in to depression. Is this how it works?"
63893,"The reason why cs is so toxic, making it harder to achieve a good gpa for an average student with no background in coding, is because unlike other courses where students are learning things with no prior knowledge (you dont just know about electrical engineering, philosophy, marketing or psychology since young) whereas some cs students have been doing these coding things since young (primary/ secondary school) and overtime their skills have just gotten better before entering uni. So the battleground is favoring these students as some mods are basically a revision to these students. 

So my fellow average cs joe, the suffering wont end. RIP GPA."
63892,"I’ve always thought that I’m an introverted person who loves staying in and is more than ok to just have a few friends to meet up for meals/chitchat once in a while and that’s about it. Until recently, I realised I may not be as introverted as I thought. My long term partner is currently working overseas for a few months and I realised how lonely I really was. 

I started to initiate more meet ups with my close friends and the not so close ones hoping to kill the boredom. I even went on to suggest overseas short trips together but most of them either do not have the budget or simply aren’t interested to go with me (I think). Despite loving being at home all the time, doing the chores, binge watch tonnes of drama series but too much of that makes my heart empty and aimless. Sounds contradictory I know. I do work but my job is kind of like freelancing so when I do not have jobs I’ve a lot of time on hand. 

I’ve thought of going out alone or even go on solo trips but I’m not too sure why going/doing anything outside alone seems too depressing for me. There’s a negative vibe whenever I’m alone outside. How to pluck up the courage to go on solo overseas trips? Anyone else feels the same? How to make yourself feel more enriched when you do stuff alone? Anyone who has the budget and wants to go on a short overseas trip too? P.s. I’m a super easy going person and I get along with most people."
63891,"Is it worth it to have children nowadays? I am comparing those people around my age group up till about 40 among those in my relatives and in the companies I have interned at. Comparing people of the same age, those who are single or married but childless seem to look much younger and energetic. Those who have children often look so tired and haggard and some already have obvious white hairs which is unexpected for people of that age. Their clothing also usually look outdated. Can anyone explain if this is the norm? Thinking of all those stresses and sacrifices in terms of time, sleep, money etc to look after children really scares me off.."
63889,"With so much hooha about what is the appropriate pay. This is my take on it. 

A lil background so everyone can know where I am coming from. 

I started working right after NS at an SME, with a pay of 1.8k while taking a part time degree at SIM GE, graduated with a GPA that will make most of you here cringe.  I am now working at a fortune 100 company with a starting pay of 5k++/mth. This is something almost impossible for a private graduate to get with only 1 yr of post degree experience. Prof Ben Leong, i think you will agree with me. 

Today(2 years) in the company i am getting close to 7k, and my application for sponsorship for my masters at NUS is pending approval. 

What I want to say is it is all about your attitude, I didn't expect to get 5k+ as I only asked for 2.8k. Sometimes asking for a reasonable pay will get you a pay higher than you expect. I do count my blessing not all private graduate do get what I have got. A friend of mine who graduated from SIM GE as well is on his 3rd year of working right now and his pay is no where near mine. As he don't show a good attitude. 

As one of my lecturer once told me ""Don't be a degree holder, be a graduate. Don't look for a job, a job will make you drag your feet to work everyday, look for a career and you will not have worries about pay"""
63885,"Hi ppl, I'm a year 2 going year 3 econs student. I've calculated according to my module planning that I would have 16 MCs left for UE. I would like to ask seniors or people of relevant expertise, should I:
1) take more core modules which I am interested in and would be relevant for future job, or
2) take UEs which are easy to score to potentially push up my CAP, or
3) use them to take a minor (I only need 3 more modules to complete the minor, out of which 1 is SU-able)

Would appreciate your help!"
63883,"I realized that I need 7 more MCs from Unrestricted Electives modules to graduate, and I'm hoping that I can find UEs modules that are not graded (CS/CU). It's my last year, and I pick a quite heavy set of modules in my major, so I don't really have time to prepare more. I've calculated the worst-case scenario, and my grade can be lower than the threshold of my expected class if I don't do well for these 7 MCs, so I don't really want to risk all of my hard work during the last 4 years for that. Advice is appreciated, thanks in advance."
63882,"The 30-year-old-still-single issue really haunts many of us CS students, especially those who went to the states. I graduated about 5 years ago and went to FAANG since graduation.

As always, we look for new opportunities, fancy projects and better compensation but we keep burying the deep down desire to actually get attached. Many of my friends here would avoid the topic or simply laugh about it instead of doing something about it. Year after year we just keep doing the same stuff or perhaps spice it up with side projects.

Personally, I have started to apply for jobs back in sg to get to meet potential partners. For those who question why not get a Caucasian wife, answer is that it is not that simple and I really want a Singaporean partner despite all the criticisms raised here.

Looking forward to constructive comments on how to break this cycle thank you!

P.s. most of us cs students are an example of high salary (100-300k) does not mean finding gf is easy. We still need to work hard for it!"
