tag,text
63198,"Hello! Is it just me or is it tough to find guys right now? I’m female, haven’t had a Boyfriend before because I’ve  always concentrated on having fun with friends and work/school. Now that I’m looking, it’s tough to find people at school and tinder/CMB really sucks cos all of the guys I’ve spoken to only want a casual relationship/FWB and I prefer to have a steady relationship... Any advice?"
63196,should i go for scamp or just go for my major's camp? heard that people mostly make hi bye friends in faculty camp so i don't know whether the 85 bucks is worth it or not... but also afraid of not being able to make friends in uni because i'm quite introverted...
63194,"How important is it to work hard in your work/ career? I am actually a slack person. In school, I am secretly envious of those who didn't do much in projects and yet can still get good marks. In the working world, I understand there are people who do the minimum and avoid work and yet still keep the job and even get promoted. I hope to learn this art from these people."
63193,"Hi there, would like to seek help from CS students or Profs. I still do not get what is the difference between CS1020/CS2010/CS2030/CS2040? I have taken CS1010S before but what would be my next step if I want to learn more? Thanks!"
63190,"Does anyone have worked with indian technical recruiter who cant take no for an answer? This week, one of them found my resume on monster and reached out to me for an opportunity, I said no, they still forwarded my resume to their client which then arranged an interview. I told them no but they still arranged it and informed me via email. On that day of interview, she called my several times which I ignored and then emailed me claiming that I sabotaged their client and reputation by notturning up for the interview. Tell me, how the hell should I handle this situation? Your replies/advice are much appreciated."
63188,"Feeling very lost and confused because on the same day today I met my ex-crush coincidentally while heading out to meet my bf and this ex-crush was with his younger sister and he cheerfully introduced his sister to me, ""This is my sister!"". Oppositely, my bf hates it when I meet his family members even if it is by pure chance, you can see it thru his body lang becuz he gets so worked up n fidgety, nervous etc. What shud i do i feel extremely hurt...????????"
63185,"Hi, I'm the OP of #63185. First off, would like to thank everyone for their input and opinions. The percentages are not calculated from criteria per se (hell no how does one even properly quantify feelings - I definitely do not go around grading people) it is just to give a better gauge/visualisation. Just like how food is rated (bad analogy I know but hey). Thanks for the link to Ted, realised that is what I have actually been doing (feeling things out) which resulted in that miss while I was deliberating whether to make a move (group/clique/cohort dynamics really did not help, some of you might think that's just an excuse but it just was not a priority in that moment, potentially trashing a few friendships while trying to sort uni life out you know). I do agree it is a HUUUGE waste (curse myself sometimes) but given the circumstances I wouldn't say it was necessarily the wrong logical decision at that point in time (I cannot see parallel universes after all, and we are still rather close friends so I'll take that). And a miss is a miss so no point crying over spilt milk (and beating me over it I beat myself over it [sometimes] enough I should think), just trying to figure out how to move on from here on!"
63182,"Am i a loser if i only want to spend my lifetime around my parents? I go to NUS because its near my home, and my parents are old already.... Everytime I have an opportunity to go for vacation with friends/ study abroad maybe, I will alwayd trun these opportunuty down , giving in to my thought 
"" my mum is old, im afraid she got alzhemier""  
""What if they got hurt and bleed then if im not around?""

I feel my thoughts are excuses that prevent me from trying out unfamiliar environment. To be honest ive never go for a vacation or go far from home. I dont even know how to drive and I tend to talk softly and fake pleasing smiles whenever im outside into places im not familiar with.
 Im already near 24 years old and i feel terrible. Any advice please"
63178,"I wonder why do people complain about friend zone.

I am currently just friends with my crush, and I am totally satisfied

We message each other on WhatsApp and hang out often.

Of course I do dream about her being my girlfriend, but what is wrong with being friends for now?"
63177,"To OP of #63163:
I understand how you feel; sometimes your strength and your interest just doesn't coincide.

My strength is in Computing but my interest is in Physics. I chose to pursue my interest and it is no doubt very very tough. Nonetheless, I have got to say that I enjoy it a lot; never once have I lost the wonder and passion in this subject despite its difficult nature. Whenever the content gets tough (and it gets really abstract very quickly in Physics), I can really feel my amazement and awe in this subject pulling me through.

I believe that had I gone for Computing, my future will be brighter since it is the up-and-coming demand of the working world. But I have got to say that I really enjoyed my time in University because I studied something I liked. Will I have enjoyed as much if I had went for my strength instead? I don't know but in all honesty, I don't think so. My poly experience has informed me that studying something I am good at and breezing through it is nowhere near as rewarding as struggling through something that I enjoy and come out on the other side of it.

I sound like a scumbag for saying this, but I will take lower-level CS modules to pull my CAP up because Physics is too difficult while I can easily breeze through those CS modules (I'm really not trying to brag). So perhaps you can consider taking up language/arts as a minor (or even 2nd major), but study something you enjoy will definitely give a lot more fulfillment and joy than something you are good at."
