tag,text
56697,GET module recommendations anyone? Looking to take something chill and not too heavy. Thanks!
56696,"Does anyone know if it is possible to take 164 MCs for a 4 year programme, is it allowed? There is this UE that I would really like to take next semester. I can’t seem to find any info regarding this, only managed to find info on whether its possible to extend candidature to take more mods. Thanks! "
56690,"Is there any reason why rounds 3A and 3B are always after school has started? Some module has already start lesson on Monday. Granted, we can just attend the modules while waiting for round 3 to conclude.

But why cant round 3 be held before school starts? Just why? "
56689,"To #56670: Took GES1005 in Sem 1. The mod content was very different from previous sem. It can get very dry easily. What was required from us in Sem 1 was 1 Mid Term (Essay), 1 Movie Review, 1 Final Essay (Quiz in Week 13). 
If you are not very interested in learning Singapore Chinese history and some Singapore history, I suggest you to take another mod. Else, this mod is not that content heavy. "
56688,"#56688 - If this is the kind of lame and naive bs that passes for thinking nowadays, getting a job or right course should be the least of your concerns. You neither know him personally nor ever interacted with him yet you feel that you should be defending him. Anyone can provide an opinion but to provide one that is even half believable it should be supported by facts and good argumentation especially if its about someone's future such as career advice. As a phd whose course and advice is so sort after, its doubly important that he provides a well thought out and supported opinion. As a phd I expect him to know the value of such opinion. So far from what I have read he hasnt done that. And EVEN MORE IMPORTANTLY, as a UNIVERSITY student you should never have an unquestioning attitude towards your professors. University is about critical thinking and increasing the standards of general thinking, not blindly admiring professors who may end up feeding you shit knowledge. And please dont be an idiot and say that one should google for citations and research. That just means you are ok with people giving you terrible opinions and its anyway futile because one should do one's own research, so why do you even bother defending him? "
56686,"Hi seniors, dk if this is a stupid question. I was thinking of choosing computer security as my focus area but am intending to take cs2107 in y2s1 and overload on either a GE or IS1103/ES2660 this sem. May I know if taking GET1004 to get a glimpse of cybersecurity is a dumb move/ not encouraged? 

P.S. I was thinking if I don't like/can't appreciate what I learnt in the GE I will switch my focus area entirely. 

Any advice is appreciated thanks!"
56682,Does anyone know when is SEP application for faculty of Science Round 2 beginning? I've been searching for the application period but cant find any info. Only info about round 1 which has passed.
56681,"My birthday is approaching soon. When my friends asked me what kind of gifts i want, I just say the usual stuffs like a simple T-shirt will do. But deep down I yearn for a hug. Even if I have the guts to say it, i don't know anyone whom i can say it to, not even my family."
56679,"Let's admit it! Social Media is a deadly tool to kill us.

Hi #56679, first and foremost, i am in no acquaintance to Ben Leong. Neither do i know him personally  nor ever interact with him once. The only impression he left in me is when i am eating my chicken chop in biz/soc canteen and I saw him talking to himself in his deep thoughts walking towards one of the stalls there. So my opinions below will be a fair and neutral ... 

As far as I know, one of the main reason why fewer profs or even working adults prefer to engage or to express their opinions through social media is because social media is one of a way to lose your job. Not only does it happen here, it happens anywhere around the globe. Many professionals lost their job through ridiculously and shameless posting in the pasts. (Don't come and ask me for citation., You don't know how to google yourselves ah ? ). If a person willing to engage a discussion openly in social media, it is quite stressful too because you have to be very careful in your words and fear that people will quote your words to insinuate for another thing. Thus, that could be one of the reason why lesser profs are willing to comments in NUSWhispers. Thus, do empathize if Ben Leong is willing to post and share his views. Not many profs willing to do that. 

As far as I concern, Ben Leong is just voicing out his opinions and in NUSWhispers, there are no right or wrong answers. Hey come on, this is NUSWhispers where all sorts of truths and trolls appear. This is not a true forum where academics matters come into place. People posts all sorts of questions and comments such as orgy relationships, bleach armpits, complaints etc... Everybody have the freedom to posts and comments as such. If you do not agree to one-saying, it is totally fine to do that. Nobody is forcing you to trust anyone in NUSWhispers. I do not trust Ben either because I do not even know him at all but i think it is good to always open your minds and listen to others. Whether to follow or not to, depends on one's decision after consideration. Similar analogy, you go downstair coffeeshop buy meepok dry. The uncle recommend say meepok wet is better because all guys like wet stuff. First thoughts in mind, you will also not trust the uncle because you do not know him at all but you will listen and consider it with your own thoughts to come up with a conclusion whether you like it to be wet or not right? 

Secondly, it is really naive and immature to expect others to keep feeding you with citation and research. Do your own homework and make your own decision yourselves. So if you intend to challenge the uncle for meepok wet, you expect the uncle to give you citation and research of how good his meepok wet is ? And technology is a very diversify knowledge that has no boundary. Valve, SAP or Linux is good but it does not signifies everything about technology. For example, again on our meepok analogy. You think that putting chilli to meepok is the best but instead, there are also chopped spring onions, deep-fried shallots or tomato to make it a perfect meepok dish in the F&B industry.

Lastly, you got to respect and give it to someone who have good credential It is not easy to finish a PHD. It really takes alot of wetness such as sweat and blood to finish a PHD. You can disagree to his comments but you should have a basic courtesy, humbleness and respect to someone who flair better than you. Even when i am typing this one, I might not even be able to obtain a position from MIT. Many success comes with lots of hard work and wetness behind the scene. You think everything drop from the sky one ah?

Like i said, nobody ask you to trust every post online or to trust anybody. Of course you are free to post whatever you like in NUSWhispers but I do challenge you that if you wish to post, comments it below so we are able to know who you are and will ""try to listen to your advice on your future posts"" because we are all from humble origins. 

Okie... I am going to buy my meepok wet. KthxBye!"
56674,"Hi CS seniors, advice appreciated!

Do you think it is manageable to take software engineering mods (CS3203, CS3281/2, CS3216/7, etc) during the second semester of FYP?

Also, how is the workload for CS3203 (or CS3201/2) as compared to CS2103?

Thank you :)"
