tag,text
60097,"Okaay so im the person who wrote #60097. Firstly thanks to those who've actually commented and i really appreciate it. And to clarify things, i don't think its possible for me to ask him out to places because he's in a diff country and studying there. It's been years since i've seen him too. So is there any other way fr me to find out if he likes me too without asking him out? Thank u :)"
60091,I’m an air Stewardess looking to quit flying after almost 3y in the industry. I hold a NUS degree in Sociology - anyone has any suggestions? Feel mundane by the office job but also looking at a decent pay.
60090,"What my tutor shared with my class today
""This is CS2030. We dont need to work on code efficiency like CS2040, just code can run can already. Algorithm efficiency is not an issue until it becomes an issue."""
60089,"NUS School of Computing orbital sign up closed within 5 hours because of high demand (I'm assuming due to the balloon in cohort size). 

I had 2 back to back midterms from 4PM-8PM and didn't have any chance to sign up at all. 

I am very disappointed and sad, and as a Year 1 with lack of computing background I am unlikely to get any internship at all. 

Can anyone advise on what someone in my position should do this coming summer? "
60088,Does anyone find GrabWheels dangerous like I do? I see my friends traveling at pretty fast speeds along the narrow paths and I’m not sure when I’ll ever start scooting..
60086,"The open registration period of NUS Orbital is really absurd; 
4pm - Registration starts, server crashed due to large amounts of attempts to connect;
7:30 pm - Server maintenance ends, resumes registration;
8:36 pm - Registration closes;
I can't get to team up with ma' girl;"
60083,"Girls, if someone confesses to you, please have the decency to reject him if you are not interested instead of just ghosting him... It takes a lot of courage to do so (especially if he is a decent guy) and you should spare him the hurt of being ghosted. As a girl, it really sucks seeing my good friend being so hung up over this. "
60082,"Hi to the cute girl with a purple headband i guess, that helped out in Town Plaza during Open Day,  would like to thank you for your help, when me and my friend was asking about the location for the talk. Appreciate your help, wasn't able to thank you properly, as we were awkward. Thanks all the helper as well, they were really friendly."
60081,Registration for Orbital 2019 is now closed.
60080,My boyfriend join alot of hall activities and I'm so jealous that he has so many activities and friends in halll...  What should I do now... This feeling is terrible... Waiting for his texts replies is terrible as well... What should I do to think lesser... Do you think he will fall for any girls in his hall if they keep going out together 
60078,"Being an introvert in a school assigned group of extroverts is difficult. At first I tried adapting myself when around them, being more enthusiastic, blah blah. But I realised two things. 

One, while I adapted to the way they shaped the group dynamics, they did not do the same for me. It was constantly me trying to fit in with them, than vice versa. It's very tiring. 

Two, even though I attempted to 'code switch' around them, they didn't seem receptive to me. There have been many instances, where whether intentionally or not(probably the latter), I have felt divided from the group. 

Little instances of social rejection, which though minor, do add up over the months. For instance, in a group conversation, never addressing me or looking at me even though i participate. Or another one, when we gather at the lab, one of the guys closes the circle of people standing around the bench, even though i am behind him, and i end up physically blocked from whatever is happening. Another one today: attendance sheet being passed around, one of them passes their pen to another group mate so he can sign. When it is my turn, they pass the sheet to me without even looking at me. As i reach for the pen and hold it, they grab it back wordlessly. I use my own pen. Yet another: Some people start laughing about something, I ask what's going on. Guy just looks at me and away. Little things that will sting anybody. I'm sure many would at this point just give up trying to fit in. And I choose to believe they probably don't do those things consciously. 

I understand that our personalities do not match. We don't need/want to be best buddies and hang out together, but i am trying to be a respectful group member. It's not easy for me either to try to fit in. Maybe it's partly the way I interact too of course. I can be reserved and a little awkward. I'm a bit older than them. I'm sure these extroverts find it exhausting/uncomfortable to chat with me and would rather chat within themselves. Fair enough, I don't mind and that would be good for me too. If they want to grab a drink by themselves sure i hope they have a great time. But ignoring or excluding someone in the same group is just...not a nice thing to do. 

I'm alright with it, more or less, because I realise it's not my problem and I need to be confident in myself. Today I just stopped trying to adapt to them to fit in, and had a really nice time in class. Much better than trying to fit in. I was my quiet self and had my break alone with a book and a coffee. It was nice to just do my own thing. The rest of the group looked like they had a good time too, so it was a win win. I know it's unusual to prefer spending break time alone vs chatting with a large bunch of people over food, but that's the way I've always been. And I think as I grow older, I'm learning to embrace that. 

Disclaimer: They are really smart, driven, kind people, as evidenced by...well a whole lot. This is just my perspective. Maybe I am somehow being the weird one here in the way I look/act/speak/am? Maybe I am being overly sensitive? Who knows. Just something I have been mulling over. 

"
