tag,text
55099,"I'm graduating next sem, and would like to attend a module on drawing in NUS! Can be either person drawing/scenery drawing. Any recommendation of (good) module(s) that I can take? Or does NUS simply not offer those kind of module?"
55098,"Seriously who are the people recording the webcasts?? Becuz quite a lot of my webcasts have no sound, some focused on the prof talking instead of the screen, some zoomed out so much that u cant see what the prof is writing. Can the school do something about this?
Inb4 the ppl commenting ""just go for lectures instead"", i do go for lectures, i just wanna recap what my lecturer said during the lectures bc some lecturers speak quite fast."
55096,"I have an problem now. Have GEH1036 this sat, CS2100 on Tues, CS1231 on following Saturday. Was equally bad on all 3 mods. GEH1036 and CS1231 overlap  like 50%, CS2100 and GEH1036 content like overlap 20%. CS2100 can't SU, while the other 2 can. I have studied GEH1036 to the extent I am considered to be done for CS1231 ... but I don't know good enough to secure A anot, and if I do continue... CS2100 is gonna be bad for me and I cant SU it. 

Should I jump to CS2100 revision and do with a brief GEH1036 on Fri or CS1231+GEH1036 all the way."
55094,#55094 Perhaps you should show your post to the CEG students who complain lecturers and TAs are killing them :P
55092,Some chem and maths modules should provide past year papers with solutions. Not just give the papers without solutions then what’s the point lmao 
55091,"I am frankly quite pissed off with lack of quality teaching in NUS. Profs and TAs even said that we are expected to learn on our own and find out things by ourselves, then what the heck are you there for? It is shocking how most of these lecturers suck and don't have any qualifications for teaching, yet are teaching. Youtube has better videos. I am so pissed that I am paying thousands every year so that I can get certified I am 'smart' enough to complete university and have learn little that I can apply at workplace."
55089,"to #55068, what kind of jobs can you land when you graduate? not trolling, just genuinely curious about the career prospects because I cant decide my specialisation. is it just research and academic jobs? or?"
55088,"To #55083,

I beg to differ. If I'm exempted 40MCs of major modules instead of having some UE exemptions (I'm from ME, exempted 20mc of major mods and 20mc of UEs), I'll most likely suffer.

Poly core modules are a cakewalk compared to undergrad modules. For example, the fluid mechanics/thermodynamics that I learnt in NUS is nothing compared to the fluid mechanics or thermodynamics that I learnt in poly. 

However, I agree that having all these UEs exempted kind of limits my flexibility to take up a minor or modules that I'm interested in. "
55087,"Just curious, how is NUS med like? Is there more test and exams or papers to write? Interested in studying it. What are the criterias that make a canididate stand out? Any advice would be greatly appreciated! (:"
55084,Is an IC or an S/U preferable? My sister is down with pneumonia and was recently shifted into the ICU. I'm really stressed and depressed and I don't really know what to do. I haven't managed to study at all since last week and I'm worried about my exams. I was wondering if I should apply for special consideration (and would it help in this scenario?) or just S/U the module.
55083,"To #55083,

I beg to differ. If I'm exempted 40MCs of major modules instead of having some UE exemptions (I'm from ME, exempted 20mc of major mods and 20mc of UEs), I'll most likely suffer.

Poly core modules are a cakewalk compared to undergrad modules. For example, the fluid mechanics/thermodynamics that I learnt in NUS is nothing compared to the fluid mechanics or thermodynamics that I learnt in poly. 

However, I agree that having all these UEs exempted kind of limits my flexibility to take up a minor or modules that I'm interested in. "
55081,"to #55081,
I changed some details in that story so I am very sure I am not the person you think I am. I saw your earlier reply, but I didn't want to burst your bubble. Still, I hope you find closure and meaning to your encounter with that guy. Best if you talk to him directly instead of wishing he reads your post and realise it is you - that is not going to happen lady. I wish you the best of luck. "
55079,Do girls like alpha males more than beta males? I see that many of the guys in the couples all over in school are more leaning towards alpha in terms of confidence and good looks (and hot bodies)
55078,My profs and TAs when they walk past me during finals
55074,Can I just say that Uncle Soo is one of the best lecturers in SoC? Like if you agree with me :)
55073,"Hi Dr Rajesh, 
Even though we are not your students, 
We from Computer Science think you're ultra-handsome too!
"
55071,"For as long as I know my Best Friend (3 years) whenever I asked him if he was interested in anyone, he would always say no. But recently, he say he is interested in someone. I am quite encouraging and ask him to chase after her. I keep asking him to send her a message, ask her out for dinner but he is not very receptive. He always say he will do something tomorrow. But one day, he told me that if he really got a girlfriend, he would have less time for me and asked if that was really what I wished for. Currently, we are living in hall and hang out with each other every day. It kinda feels like a routine you know? I feel that I will miss him but he deserve happiness. Hence, there is this conflicting feeling. Moreover, he asked me many weird questions recently as if he is trying to make me confess to him the feels (may be just me). Some questions he asked include why do you choose to talk to me over other guys in our OG? Have you ever liked me? Why do you choose to hang out with me?

He was always there to listen to me, entertain me and was a really nice friend. I know it is finals and I should be studying but I can't get his questions out of my head. Do I really like him? honestly, IDK. 

I don't have butterflies when I see him. I don't dress up especially nicely just to meet him. But he is always there as my listening ear, seen me in my worst and best state, probably the person I am most comfortable with, knowing all my secrets. 

I have never consider him more than a friend despite all those ""shipping"" from others because I believe that they are just too free. But when he asked me if I ever like him and if I will ever like him, I really DK. Technically it is meaningless if I like him or not as there is already someone else he is interested in and Idk what is wrong with him, asking me about all these at this point in time.

I will be going for NOC next semester and maybe it will do me good. But guys, what do you think I should do?"
55070,"As a year 2 student in mech eng, i always see that i have to put in 3x as much time energy and effort to even struggle to get a good grade.
and i know some people who can study last minute, and somehow get the same grade
I have chosen the wrong course
End my suffering."
55068,"to #55068, what kind of jobs can you land when you graduate? not trolling, just genuinely curious about the career prospects because I cant decide my specialisation. is it just research and academic jobs? or?"
55066,ME2134 students right now 
55065,"The final exam for GER is in 2 days and I just can’t help but to feel so discouraged. I don’t have a natural flair with things concerning math / technical things in general. I’m so aware of this that I put in extra hard work for GER, but it just doesn’t seem to pay off. I do my work consistently and watch every online lecture at least 2 times. Yet, when I attempted the GER practice paper yesterday, the questions that I could answer correctly was less than half. What’s even more depressing is that I’m hearing that the bell curve for GER is very high. Guess I don’t even stand a chance.."
55064,"ZM Yap:
Hi ANY KIND SOUL picked up a dark brown leather cardholder? 

I dropped it on 20th november at around 2000 to 2100h on bus D1 towards utown or at Utown itself. 

Inside theres an NRIC, Driving license, debit card and access card.
Nric ends in 419F.

The kind soul who picked it up please contact me or return to the security posts please :D

Thanks!!!"
