tag,text
54799,"After removing plastic straws on campus, it's time to stop buying new smartphones and ban mindless use of screens on walkways and bus-stop. Perhaps, some wifi jamming may help.

https://www.techradar.com/sg/news/smartphones-are-damaging-the-environment-faster-than-we-thought"
54797,"#54797 It took me awhile to process it..but reading your confession brought out dredges of difficult feelings I thought I had forgotten about, stirred up wounds I had sought to bury under performances of happiness. (e.g. Even now, I get random epiphanies about something you told me that I now realise was a lie.) 

I hope for your sake that you see through all the unpleasant feelings, and even miraculously, the very fact of that person's toxic and manipulative self dries up even the last bit of affection you have for them, if it hastens your healing. 

I hope that you lean on trustworthy friends during this period, no matter whether you feel like you can do without them or not. I hope you will be honest with your heart, and protect it until it regains tranquility, and that when the door for a close romantic companionship opens for you, it will be the genuine, respectful gentleman you have always deserved and needed!

Like Andy said, it won't be easy to sort things out, but it has to be done. Take care of yourself dear. I wish for you the grace to dance through to the next scene of your life. Jy babe <3 "
54792,"Word of advice for guys - can you please stop fawning  over any girl who you find good looking but hardly know her character or that she has a shit/boring one but you keep at it in the hope you’ll get laid. You are ruining it for those who are more interested in the underlying substance. Have a look at a few makeup YouTube videos and you’ll realise how terribly easy it is to make yourself look however pretty ( or ugly ) you want to. Guys like you ruin it for everyone else because girls develop a contemptuous attitude towards us. And the ones with the shallow character never get the hint that it’s them. So,  remember this the next time you fall for her, you idiot! "
54791,"Posting for advice - I’m one of those students who’s quite concerned about online privacy and the harmful effects of social media. However I have noticed that it’s next to impossible to have a social life in nus without an insta or Facebook account. So was fishing for some advice as an international masters student -  
1. How to find like minded people to hang out and have a good time with?
2. How to date if you aren’t on tinder, okcupid etc? "
54790,Hihi friends super random post but anyone interested in joining to go Korea this December for a short trip together? We can meet to discuss too=)
54787,"Has anyone else noticed how damn cliquish people are in this university? The Norwegians hang out with other Norwegians, the English with other English, the Chinese with other Chinese, the Indians with other Indians, the singaporeans with other Singaporeans. This is especially noticeable amongst undergrads at utown. "
54786,im very confused. i thought 6-8pm lecture should finish at 7.30pm but why my GET1008 always ends at 8pm and today even later than 8pm?
54784,"Admins pls dont block this?

Can anyone tell me if ti nspire cx is allowed for nus exams? Since we can use it in ib and some poly but not in jc. Any profs or senior can advice pls? Prof ben leong?
-
#54751: https://www.NUSWhispers.com/confession/54751"
54783,"Hi #54775 (the one about the older boyfriend), I feel the exact same way as you. I am in a 3 year relationship with my girlfriend and I remember being super into her at the start but now we are in a 'lull period' as you put it and I think I am not in love with her anymore. not sure if this is a normal phenomenon of long relationships? do you guys experience this too or does the feelings still remain the same as before after a long long time? any opinions or advice? "
54782,Guys I’m really confused. Why do people choose not to S/U despite having the S/U option?
